event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-01656,2007-07-30,31.0,79.375,Uttarakhand,15.81,31.27,44.03,80.8,174.03,0.73,1.5333,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-01489,2010-09-03,29.5,80.625,Uttarakhand,14.44,82.76,99.18,208.65,310.1,0.89,2.6,2217.17,32.44,5.59,0.001258,0,negative
4912,2013-06-12,31.49,76.704,Himachal Pradesh,12.41,37.0,39.53,42.97,43.72,0.57,1.1874,707.21,11.14,212.2,-0.002005,1,positive
APDA-NEG-01020,2015-09-06,26.0,91.25,Meghalaya,1.21,29.24,123.15,248.57,456.11,0.88,2.5333,43.29,0.09,114.93,-0.000208,0,negative
APDA-NEG-01406,2014-08-15,23.5,91.875,Tripura,30.26,160.56,202.89,248.11,355.06,0.91,2.7333,98.63,5.69,26.51,-0.003608,0,negative
APDA-NEG-01647,2013-07-18,29.5,78.75,Uttarakhand,10.6,74.02,105.62,236.7,395.61,0.86,2.4,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-01564,2013-09-30,29.5,78.75,Uttarakhand,7.84,18.84,47.23,76.53,131.2,0.83,2.2,285.78,7.49,11.54,0.004111,0,negative
4515,2012-08-24,30.74,77.285,Himachal Pradesh,23.86,41.38,178.99,336.5,552.97,0.92,0.958,1633.37,33.84,202.08,-0.009573,1,positive
APDA-NEG-00926,2010-08-25,24.5,94.375,Manipur,1.71,9.87,25.17,59.36,156.15,0.79,1.9333,319.22,17.67,30.12,-0.00491,0,negative
6167,2014-07-20,30.633,78.995,Uttarakhand,10.51,48.53,115.02,189.06,225.63,0.84,0.3091,1904.42,13.55,108.02,0.001358,1,positive
APDA-NEG-00140,2008-10-29,29.0,96.25,Arunachal Pradesh,0.37,36.82,53.32,55.18,81.52,0.81,2.0667,4424.4,28.85,66.8,0.001741,0,negative
177,2007-08-12,32.733,77.591,Himachal Pradesh,12.5,22.24,43.86,119.56,163.9,0.73,0.1279,5750.13,24.15,221.33,-0.014669,1,positive
3831,2011-07-22,24.799,93.948,Manipur,6.93,43.74,140.61,216.52,390.13,0.9,1.5174,781.63,1.81,308.02,-0.001749,1,positive
APDA-NEG-00952,2010-07-30,25.0,93.125,Manipur,25.39,62.51,90.11,157.03,311.86,0.94,2.9333,275.9,30.23,93.66,-0.002097,0,negative
2456,2010-09-19,30.799,79.436,Uttarakhand,29.35,64.94,93.64,145.48,286.26,0.9,2.9724,4149.6,26.91,339.74,-0.018044,1,positive
